transcription,conversation_no
"Uh, what?  Craig's List?  Oh the internet thing?",3
Yeah.,3
I don't know.  Isn't that-- that's all like escort services and things like that.,3
No.  There's regular jobs on there.,3
"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",3
Uh huh.,3
I'm just saying I have a friend that got a good job on it so I was just recommending it.,3
What kind of a job?,3
He's like a manager for a theatre.,3
Really?,3
He's like a house manager. Yeah.  It's a good job.,3
He just...,3
you know what?  I heard about that job.  I applied for that.,3
You did?,3
Yeah.  I saw a posting at the theatre.,3
Yeah.,3
Hmm.,3
He got it?,3
You've been looking for a job for a long time; that was a long time ago.  Right?,3
Yeah.,3
Hmm.,3
What did he do?  What was so great?  I don't understand why they would pick him over me.,3
I don't know.  He had a really good resume I guess and--,3
A resume?,3
Yeah.  Do you have a resume?,3
No.,3
It's kind of helpful when getting a job.,3
I just- I mean I call people up and I tell them what I'm good at.,3
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,3
Yeah.,3
I don't like- I don't like sending things in the mail.  I don't want my information out there.,3
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",3
I'm there in front of them.  I'm telling them what I'm good at.,3
"Yeah.  But the piece of paper helps, too.",3
Why?  It's a piece of paper.,3
"No.  But it has an outline, you know.",3
"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",3
"I know.  Okay.  Well, um. Maybe--",3
"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",3
Yeah.,3
"Okay, yeah.  I would imagine.",3
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,3
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",3
"That's baloney, that's baloney.",3
Please.,3
maybe get a car.,3
"I just, you know, think you should try a little harder maybe.",3
you think that you're better than me because I don't have a car?,3
I didn't say that.,3
"You know, you're riding the bus, too.",3
"I am riding the bus, but by choice.",3
Why?  What choice?,3
"To save the environment, carpool.",3
You're saving the environment. mmhmm,3
Yes.  One less car at a time.,3
Interesting.  That's fantastic.,3
Mmhmm.,3
"You know, you don't have to take out your frustration on me, you know, just because...",3
I'm not frustrated.,3
...you can't get a job and refuse to have a resume.,3
Who do you think you are?,3
I don't think I'm anyone.,3
You are so high and mighty.  I just--,3
I- I-I didn't-- okay.,3
Oh.  I'm saving the environment. I'm riding this car because I- I want to.,3
What?  No.,3
What? Oh.  So now you're...,3
"The bus, I'm riding the bus because I want to.",3
you know what?  You don't have to take your anger and your hurt out on me.,3
I can not-- you are not here by choice.  Nobody would ride this bus by choice.,3
Why not?,3
Hi.,4
Hi.  Thanks for waiting.,4
Yeah. This is the fourth line that I have been in.,4
Can I help you?,4
Uh huh.,4
I need my bag.,4
Okay.,4
"I flew in over three hours ago, I've been in four different lines.",4
Okay.,4
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,4
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,4
Nash.,4
Okay.,4
No G.,4
all right- okay.  And you lost your bag? Is that- that the issue?,4
Yes.,4
Flight seven fourteen.,4
Uh-huh.,4
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",4
"Yeah. Yeah, I don't see- I don't see any--",4
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",4
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",4
"Oh, Are you kidding me?",4
"for such an inconvenience and your bag, but",4
Is this a joke?,4
Yeah.,4
"No, no.",4
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",4
"No, no.  This is real.",4
So you'll give me money and then I'll get my bag?,4
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",4
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,4
"You're kidding me, this is a joke.",4
"Once again, I'm really- I'm really sorry.",4
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,4
Yes.,4
I know.,4
We flew in from Paris.  I've been shopping for three weeks.,4
"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",4
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,4
Okay. Calm-,4
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",4
Do you understand who my husband is?,4
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",4
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",4
Oh-Oh.  It's a gift.  You're-You're helping me out here?,4
It's a gift.,4
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",4
You are cruising for a bruising.  You are in so much trouble.,4
With the amount of--,4
Who's in charge?  Who is the president of Jet Blue?,4
"Um, actually, I don't know. I don't know. Oh really?",4
Because I probably know him.,4
Yeah.,4
Well then maybe you can just call him and he can give you more money.  But right now all I can do--,4
"I don't want money, I want my clothes.",4
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",4
What's your name?,4
Oh.  My name is Sean. Hi.,4
Sean.  Great. Do you have a badge number or something?,4
"Badge number?  Uh, no.  You can just take my employee number I guess.",4
Okay.  I'll do that.,4
Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,4
I don't think you have done everything you could do because I don't have my bag here yet.,4
"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",4
A letter? I'll make a personal phone call.,4
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",4
"I'm sorry, Joy.",5
It's okay.,5
Is there anything I can get you?  Do you want me to take care of anything for you or...?,5
"No, no, no.",5
...pick up anything?,5
No.,5
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,5
That's sweet.,5
Thank you.,5
I went to see her headstone a week or two ago.,5
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",5
Hmm.,5
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,5
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,5
mm.,5
"this woman came up and, you know, it was hers. It was her person that was there.",5
Oh.  She was there?,5
"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",5
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",5
Mmhmm.,5
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",5
Yeah.,5
I don't know.,5
How long were you there for?,5
At the cemetery?,5
Mmhmm.,5
couple hours.,5
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",5
Oh really?,5
You ran through the sprinklers in the cemetery?,5
It was hot.[LIPSMACK],5
Is it a big cemetery?,5
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,5
"Oh, so they're like really old too, really old ones?",5
Yeah.,5
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",5
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",5
She used to have these poetry parties on Memorial Day.,5
Mmhmm.,5
Umm. Yeah.,5
"And the last time before she died, I remember she couldn't really stand, umm...",5
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",5
Mmhmm.,5
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",5
mhmm.,5
So she wrote a lot of poetry?,5
"There's another one, I can't remember.",5
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",5
Mmhmm.Mmhmm.Mmhmm.,5
Did you get the letter?,6
"Yes.  There's a big envelope it says, you're in. I know.",6
Yeah. That is so awesome.,6
Did you-,6
Oh my God. What are you going to do? [LAUGHTER],6
So I have to move back to the ghetto but...I know.,6
"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",6
"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",6
"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",6
"Oh- I know, I know, I know, I know.",6
"I don't know.  I spend so much time commuting as it is, I'd rather.",6
This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,6
I know. We should throw a party.,6
"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",6
A rapper party ho. Yeah. Okay.,6
"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",6
ay.  ,6
It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,6
Yeah.  Big time.,6
Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,6
"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",6
"Oh, okay.",6
Ooh. Fancy.,6
Yeah.  I'm not sure.,6
Is this a Masters or a P.h.D.?  Or can you...? Nice,6
Umm...P.h.D. [LAUGHTER],6
"That's good.  Don't you have to like teach a class, too, when you do that?",6
"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",6
"Teacher. Mrs. Nash, I have a question.",6
So I get to mold young minds. Mrs.?  That's my mother.,6
You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,6
GARBAGE] ,6
"I would be like- Oh. Right, right, right.",6
"Mrs. Nash.  That's so awesome, though.",6
"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",6
Yay...School's fun.,6
"Of course, right.  That's where the real money is, being a student.",6
Yeah.  Totally. [LAUGHTER],6
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,6
"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",6
What's he going to say?,7
Maybe we should tell him before he sees it.,7
He saw it.,7
How could he see it?  I was the first one up; he was still in bed.,7
He was out here when it broke.,7
When?,7
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,7
What was he doing out here at four o clock in the morning?,7
I don't know.,7
"He's dreaming of him again, walking around.",7
I guess he is.,7
It's getting to be just like after he died.  What's the meaning of that?,7
"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",7
What?,7
"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",7
What do you mean dishonest?,7
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,7
What do you want to do?  Argue with him?,7
I don't want to argue but it's time he realized that nobody believes Larry is alive.,7
"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",7
You can't say that to him.,7
We've got to say it to him.,7
Where's the proof?  Do you have any proof?,7
"For God's sake, three years?  Nobody comes back after three years; that's insane.",7
"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",7
"Sit down, Mom.  I want to talk to you.",7
"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",7
"All right, all right, all right.  You know why I asked Annie here, right?",7
Why?,7
You know.,7
"Well I got an idea, but what's your story?",7
I'm going to ask her to marry me.,7
"Well that's only your business, Chris.",7
You know it's not just my business.,7
Well what do you want me to do?  You're old enough to know your own mind.,7
"So all right then, I'll just go ahead with it?",7
Well you want to make sure that your father is not going to --,7
Then it's not just my business.,7
I'm just saying.,7
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",7
Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,7
She's not Larry's girl.,7
Line.,7
"From mother's point of view, he's not dead.",7
"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",7
From...line.,7
Now you can go on from here.,7
"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",7
"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.",7
You're --,7
"You're a considerate fellow, there's nothing wrong in that.",7
To hell with that.,7
I just don't see why.  Have you asked Annie yet?,7
I wanted to get this settled first.,7
Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,7
"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",7
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,7
The trouble is you don't see enough women.  You never did.,7
So what.  I'm not fast with women.,7
Why does it have to be Annie?,7
Because it is.,7
Oh that's a great reason.  It's no reason at all.,7
I don't know.,7
"You haven't seen her since you went away to war, it's been five years.",7
"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.",7
"Mom, what do you want?  A diagram?",7
I don't want a diagram.,7
He thinks he's coming back Chris.,7
"You marry that girl, you are pronouncing him dead...",7
...and then what's that going to do to your father?  Do you know?  I don't.,7
"All right, then, Mom. [BREATHING]",7
Just give it some more thought.,7
"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.",7
"But if I can't do that here, I may have to go somewhere else.",7
What the hell is this?,7
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",7
Are you crazy?,7
"I've been a good son for too long, a good sucker.",7
You have a business here.  What the hell is this?,7
The business?  The business doesn't inspire me.,7
Oh.  Must you be inspired?,7
"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.",7
"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",7
You mean to tell me that you would leave the business over this?,7
"On this, I would.",7
Well you don't want to think like that.,7
Then help me stay here.,7
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",7
I know that.  Then just help me stay here.,7
Just don't think like that.,7
Well I am thinking like that.,7
"I don't understand you, do I?",7
No.  You don't.  I'm a pretty tough guy.,7
I can see that.,7
Why did he invite her here?,8
Why does that bother you?,8
"She's been in New York three and an half years, why all of a sudden?",8
Well maybe...maybe he just wanted to see her.,8
Nobody comes seven hundred miles just to see.,8
"What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?",8
[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.,8
He's not going to marry her.,8
How do you know he's even thinking about it?,8
It's got that about it.,8
Oh.  So what.,8
"What is going on here, Joe?",8
Now listen.,8
She is not his girl.  She knows she's not.,8
You can't read her mind.,8
"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",8
How do you know why she waited?,8
"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",8
"Hey look, it's a nice day, huh?  Why are we arguing?",8
"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",8
What do you want me to do? What do you want?,8
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",8
I won't stand for any nonsense.,8
Kate.,8
"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",8
[BREATHING],8
Calm yourself.,8
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",8
Okay. Calm yourself.,8
"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?",8
"Look at you, you're shaking.",8
I can't help it.,8
"What have I got to hide?  What the hell is the matter with you, Kate?",8
You're the only one who still loves his parents.,9
"I know.  It kind of went out of style, didn't it?",9
It's not so bad; it's a good thing.,9
"[BREATHING] You know, it's lovely here.  The air is sweet.",9
You're not sorry you came.,9
"I'm not sorry, no. But I'm...I can't stay.",9
Why not?,9
"For one thing, your mother much as told me to go.",9
Well.,9
"And then, you.  You've been kind of...",9
What?,9
Sort of embarrassed ever since I got here.,9
Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,9
I knew they would.,9
You did?,9
"Well sure, from your mother's point of view.  Why else would I come?",9
"So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?",9
"I, umm. I guess, I guess that's kind of why I came.",9
[BREATHING],9
"I love you. Annie, I love you.",9
[LAUGHTER],9
"I don't really have any imagination, that's all I know how to say.",9
[LAUGHTER],9
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",9
No. No,9
"You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.",9
"Chris, I've been ready a long, long, time.",9
And he's gone forever?  Are you sure?,9
I almost got married two years ago.,9
Why didn't you?,9
You started to write me.,9
You felt something that far back?,9
Every day since.,9
Why didn't you let me know?,9
"I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,",9
Give me a...,9
Give me a kiss.,9
God.  I kissed you Annie.,9
beating around the bush.,9
LAUGHTER],9
"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",9
"Oh Annie, we are going to live now.  I am going to make you so happy.",9
Not like that you're not.,9
I kissed you.,9
"Like Larry's brother.  Do it like you, Chris.",9
"Chris, what is it?",9
"Hey, let's drive some place.  Huh?  Let's get out of here.",9
No. What is it?  Is it your mother?,9
No it's nothing like that. It's-,9
"Then what?  Chris.  Even in your letters, there was something ashamed.",9
Yeah.  I suppose I have been. But it's going from me.,9
You've got to tell me.,9
I don't even know how to start.,9
It wouldn't work like this.,9
"It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?",9
"Yeah, sure.",9
Well I lost them.,9
How many?,9
Pretty much all.,9
"Aw, geez.",9
You can't just toss off a thing like that because they weren't just men. You know?,9
"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",9
"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",9
"And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.",9
Mmhmm.,9
"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",9
"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",9
Driving my new car and seeing a new refrigerator.,9
"I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.",9
And I didn't want any of it. I guess that included you.,9
Do you still feel that way?,9
I just want you to know Annie.,9
"Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?",9
"Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.",9
"Annie, Annie.  I am going to make a fortune for you.",9
What would I do with a fortune?,9
"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh.",10
"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",10
Fine.,10
"Okay.  Is that, is that--",10
No.  That's just foam.  I don't know.  I can't tell.,10
[BREATHING],10
"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?",10
[Mumbles something],10
Oh no.  you know what I forgot?,10
What?,10
"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight.",10
What flashlight?,10
"The flashlight, the silver one.  There's only one, isn't there?",10
That's not your flashlight.,10
Whose is it?,10
It's ours; it's my flashlight too.,10
"Oh...well. Yeah, of course.",10
You keep saying my flashlight like it's just yours.,10
No.,10
How's that supposed to make me feel?,10
"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",10
"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",10
Do they always run during a full moon?  I don't remember.  Was it full last year?,10
Yeah.,10
"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",10
"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",10
"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",10
Uh oh. ,10
[LAUGHTER],10
I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.,10
I'm cold.,10
Do you want my jacket?,10
"It's after eleven, let's go.",10
What?  We just got here.  What's the point of coming all the way down here if we just turn around and go home?,10
There is no point.,10
Right.,10
That's my point.,10
"Wait, that's my point, too.",10
"Well, then let's go.",10
"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?",10
Not particularly.,10
Why not?,10
I just don't.  It's stupid.,10
"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",10
"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.",10
Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,10
This is a big night for these little guys.  It's like life's last orgy.,10
I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.,10
Yeah they do.,10
Oh Augie,10
"okay... well, Whatever.  But it's a fish who do something no other fish do.  It's like those swallows returning to Capistrano or like those lemmings that throw themselves off the cliffs.",10
"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",10
I'm just not.,10
For real?,10
Yeah.,10
"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",10
"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",10
"Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions.",10
Ahh...we weren't in a good spot.,10
Hmm.  We didn't see them the year before either.,10
"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",10
[Mumbles] Oh yeah.,10
"Look there, see?  What's that?  No, that's - that's just seaweed.",10
"God, this is great.  Think about this.  I know you are not interested, but just think about this.",10
